,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
26736,6VLlX6KCXdEeZIsCTZhkMZ,Germaine Franco,Encanto (Deutscher Original Film-Soundtrack),Die Kerze,19,200093,False,0.18,0.336,0,-13.151,1,0.0425,0.606,0.988,0.31,0.0342,102.119,5.0,disney
25987,57PB77h5BBwV2hRLUQlczl,Baciary,Nic do Stracenia,Letnie Dni,29,227759,False,0.784,0.71,5,-5.774,1,0.0317,0.176,6.23e-06,0.321,0.862,96.062,4.0,disco
18683,63isYS7JVIH9yfS6xOF2Pc,Redd Foxx,The Ultimate Comedy Collection,"Atlanta, GA",22,142586,False,0.568,0.663,4,-12.513,0,0.906,0.979,0.000134,0.658,0.44,85.444,3.0,comedy
20779,12eaW6wPDSW4EXNkapb4nK,Jason Derulo;Kodak Black,Good Vibes,Slidin',3,156300,True,0.695,0.884,11,-1.953,0,0.172,0.106,0.0,0.134,0.803,100.088,4.0,dance
916,6rm0bIbAE0ZfPXNeuIV4DR,Michael Logen,Darkness Within,Darkness Within,33,252628,False,0.464,0.72,9,-7.466,0,0.0583,0.0166,0.0488,0.0803,0.199,160.057,4.0,acoustic
496,5u2HaXFymnYNePtwI5bU3t,Frank Turner,FTHC (Deluxe),Haven't Been Doing So Well,30,196813,False,0.367,0.892,2,-3.91,1,0.133,0.00012,0.000268,0.276,0.799,81.928,4.0,acoustic
25548,2LZ78ozpwG2wP0ylDPWKi5,Nockis,Weihnachten Playlist,"Ein Weihnachtslied, das dir gehört",0,199413,False,0.556,0.649,7,-6.66,1,0.0254,0.538,8.51e-06,0.258,0.577,107.03,4.0,disco
18662,2l04PBenOBbAfMLeIqNZDg,Iliza Shlesinger,War Paint,The Grabbing Hand,22,399550,True,0.683,0.909,1,-6.075,1,0.924,0.772,0.0,0.764,0.385,102.977,4.0,comedy
41345,2HTm0c5e8xwLu7GMVpPgxJ,Håkan Hellström,Det är så jag säger det,Gråsparven när hon sjunger,27,294760,False,0.416,0.885,0,-5.626,1,0.0662,0.0393,0.0003,0.0616,0.585,131.167,4.0,goth
31470,5HOlPj1GPGrp8sbad1BPDU,Topic;A7S,Weekend Baby,Breaking Me,0,166793,False,0.789,0.72,8,-5.652,0,0.217,0.223,0.0,0.129,0.664,122.031,4.0,electro
19877,4mbwslolhrTX8PlqGmZ8WE,Riley Green,We Out Here: Live,Dixieland Delight - Live,42,330939,False,0.254,0.909,1,-6.556,1,0.0713,0.00112,0.000334,0.925,0.437,94.32,4.0,country
35456,3SgXduMyuIIHxIkcptUC1m,Os Barões Da Pisadinha,Da Roça Pra Cidade (Ao Vivo),A Diferença - Ao Vivo,41,192386,False,0.639,0.917,7,-2.769,0,0.0404,0.338,0.0,0.0526,0.883,159.973,4.0,forro
34829,6qXkYUVsWTNKnrUQHeGgA8,Divya Kumar;Enbee;Jasleen Royal,Veere Di Wedding (Original Motion Picture Soundtrack),Laaj Sharam,33,201332,False,0.704,0.789,1,-7.473,1,0.0622,0.0418,4.68e-05,0.161,0.842,179.977,4.0,folk
39376,5cquBPo7nPJgorjJFNTELh,Hans Zimmer;Djivan Gasparyan;Gavin Greenaway;The Lyndhurst Orchestra,Hans Zimmer: Epic Scores,"To Zuccabar - From ""Gladiator"" Soundtrack",18,196093,False,0.177,0.193,8,-27.06,1,0.0641,0.882,0.92,0.11,0.0852,112.26,3.0,german
24335,3ECxNXlejuESJskGvgyaqp,Underground Resistance,Intersteller Fugitives,Thought 2,9,257733,False,0.463,0.747,1,-10.888,1,0.0333,0.00967,0.886,0.0952,0.306,148.262,4.0,detroit-techno
25433,0lstcBE6QotSFCbDj8XMEh,Dejw,Dołeczki (Radio Edit),Dołeczki - Radio Edit,35,181446,False,0.813,0.836,11,-6.815,0,0.0439,0.00299,0.0,0.224,0.907,136.949,4.0,disco
33811,6gTbAJOvivFXwkOEhSIOtS,Killstation,The Two of Us Are Dying,Sarcoma,62,134209,False,0.547,0.375,6,-10.093,1,0.0304,0.146,0.0,0.58,0.459,86.94,4.0,emo
15737,1GljONHNvhA1lVr9jmTVkd,French The Kid,Never Been Ordinary,Thrill,62,163404,True,0.765,0.468,6,-11.39,0,0.245,0.616,0.000206,0.095,0.447,141.042,4.0,chill
40183,5pqLVH7nAvrTO9W4VIWI18,Marquinhos Gomes,Senhor da Terra,Senhor da Terra,46,275961,False,0.406,0.764,11,-6.49,1,0.0398,0.151,0.0,0.378,0.349,77.546,4.0,gospel
39097,3hyLdoIjuv5JV0MyE4GQkg,Johann Sebastian Bach;Boston Pops Orchestra;Arthur Fiedler,Weihnachten Klassik 2022,"Herz und Mund und Tat und Leben, Cantata BWV 147 - Arr. Robert Bockholt: Jesu Joy of Men's Desiring",0,204666,False,0.138,0.173,7,-17.603,1,0.0371,0.955,0.928,0.161,0.159,100.657,4.0,german
18376,25uXZeKtCHdv7QKpXg3zeZ,Ryan Dalton,You Were Funny Too,Weiner Dogs That Breathe Poop,23,108040,False,0.39,0.607,2,-11.972,1,0.928,0.519,0.0,0.087,0.141,176.43,4.0,comedy
29223,3iDtphWASBHIjVEB8lWBqs,Black Tiger Sex Machine;Hairitage;Hyro The Hero,Cheatcode,Cheatcode,51,187000,True,0.467,0.934,2,-2.253,1,0.0588,0.00561,0.00186,0.107,0.135,149.967,4.0,dubstep
37182,2uqUDXhP1CQ8BfKcuk8AV6,Clean Bandit;Sean Paul;Anne-Marie,Feeling Good,Rockabye,1,250456,True,0.724,0.759,9,-3.996,0,0.0544,0.411,0.0,0.437,0.765,101.943,4.0,funk
3277,3mHSlJiqWCut98cVJYQyCn,Counting Crows,Hits Pop Rock 90's,Mr. Jones,1,272733,False,0.571,0.836,0,-5.556,1,0.0371,0.194,4.09e-06,0.182,0.73,141.612,4.0,alternative
17411,0MGkVtHqa6hp9WFaUc0fq1,Le Castle Vania,Payday,Fully Loaded Epic Win,39,187001,False,0.679,0.952,1,-2.777,1,0.0596,1.66e-05,0.686,0.515,0.175,128.033,4.0,club
13107,3UolKLgMD5pOSAIl1yW2wz,Romanthony;Dixon,Super Heavyweight,The Wanderer - Dixon Edit,15,426689,False,0.845,0.327,8,-10.622,1,0.054,0.0568,0.816,0.119,0.191,125.994,4.0,chicago-house
2513,0nkzd3yNniB767zSDDdLZ3,Skillet,Awake,Awake and Alive,69,209493,False,0.434,0.939,4,-2.983,0,0.0593,0.0425,0.0,0.491,0.569,159.932,4.0,alt-rock
16413,1N6QNFfCWrwOWlSKa7bM1B,M. S. Subbulakshmi;Radha Viswanathan;Sangeetha Kalanidhi,Vinayakar Agaval And Other Songs,Kurai Onrum Illai,36,240573,False,0.296,0.566,3,-6.349,0,0.0576,0.733,0.0,0.74,0.602,172.14,4.0,classical
37252,6RNDeRnWsRMjPdNVgupZCs,Stevie Wonder,At The Close Of A Century,I Just Called To Say I Love You,75,262240,False,0.748,0.551,1,-9.054,1,0.0239,0.243,1.57e-06,0.0943,0.65,113.535,4.0,funk
8701,6rFjY2BIff8jlNssd9nw9P,Zayde Wølf,Rare Breed,King,45,198326,False,0.567,0.896,9,-3.515,1,0.069,0.0183,0.0,0.18,0.354,85.033,4.0,blues
1199,5Tjwl3oPSCD2o0nkAbiGW0,Jorge Drexler,Frontera,Aquellos tiempos,29,200026,False,0.552,0.499,2,-12.078,1,0.131,0.65,0.0685,0.117,0.665,131.952,4.0,afrobeat
30420,1NTJDF7wk26eGVxEFn4MMJ,Clean Bandit;A7S,It's You - Fresh Hits,Everything but You,0,198014,False,0.679,0.764,6,-5.301,1,0.0391,0.031,9.05e-06,0.0951,0.471,124.977,4.0,edm
10700,6c1hFCCh7JtC84gKIYzPb7,Noisia;The Upbeats,Imperial EP,Dustup,39,301395,False,0.598,0.892,11,-4.232,0,0.0943,0.000189,0.775,0.302,0.202,172.027,4.0,breakbeat
31014,7ef4DlsgrMEH11cDZd32M6,Calvin Harris;Dua Lipa,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),89,214846,False,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,4.0,electro
27845,63WXPh0CRTulG5OOlVDGWF,Mampi Swift,25 years of Charge,Gangster,16,307615,False,0.487,0.98,11,-3.219,0,0.145,0.00135,0.902,0.315,0.42,174.985,4.0,drum-and-bass
2243,2ZLe81mFJfD39BqIy3zkWb,No Doubt,Обратно в клас - rock,Don't Speak,0,262746,False,0.508,0.752,5,-5.439,0,0.0343,0.251,2.1e-05,0.142,0.554,76.07,4.0,alt-rock
33666,0riQ5biFBQYCclYUACchr0,salvia palth,melanchole,girl,60,157648,False,0.551,0.695,0,-9.444,1,0.0336,0.299,0.82,0.108,0.15,100.233,4.0,emo
22333,4OdTyeq4qCXepqucqCeTq2,The Acacia Strain,The Dead Walk,See You Next Tuesday,24,195653,False,0.389,0.991,1,-4.917,1,0.181,0.000529,8.47e-05,0.201,0.153,154.06,4.0,death-metal
30046,1bBIW9ldf7Ehk0oLeNeTj7,David Guetta;Chris Willis;Fergie;LMFAO,EDM Hits,Gettin' over You - Aviccii's Vocal Mix at Night,0,377013,False,0.624,0.81,1,-8.307,1,0.039,0.00269,0.0186,0.169,0.271,127.989,4.0,edm
6195,7hlPu95E6ur5uhUeFRfMzL,Entombed,Uprising,Seeing Red,22,211493,False,0.2,0.973,6,-3.391,0,0.0784,2.98e-05,0.000521,0.331,0.148,124.365,4.0,black-metal
9514,0BgSIWlf1zulLvRyNtjCtg,Maneva,Mundo Novo,Mundo Novo,45,170831,True,0.726,0.73,10,-7.221,1,0.146,0.0855,0.0,0.229,0.782,92.978,4.0,brazil
38788,5xdDPyLk9MjyXsHdqpDVbk,Bad//Dreems,Dogs At Bay,My Only Friend,27,178286,True,0.558,0.891,9,-3.215,0,0.0363,0.00113,7.69e-05,0.208,0.583,129.951,4.0,garage
1749,77R3mOaInbXGRjTjWlwjug,Hugh Masekela,60's Gold,Grazing In The Grass,19,156946,False,0.673,0.697,5,-6.953,1,0.0271,0.518,0.831,0.256,0.911,107.46,4.0,afrobeat
37328,53DZTymdCwUwL9yJdqSLjR,Mc Davi,Tudo No Privê,Tudo No Privê,50,211200,False,0.636,0.547,5,-8.916,0,0.15,0.551,0.0,0.0967,0.456,149.951,4.0,funk
30395,6d0xPGYOpstGJ0vM3QEd7Y,Jonas Blue;RAYE,Concierto en la ducha,By Your Side,0,201254,False,0.694,0.743,6,-3.851,1,0.033,0.0773,0.0,0.0587,0.637,122.998,4.0,edm
696,55G6uXo1fyBQ58YL3O2ygf,Days N Daze;Juicy Karkass,Crustfall,I Wanna See It Burn,29,157000,False,0.48,0.6,0,-8.976,1,0.0398,0.24,0.0,0.533,0.944,92.545,4.0,acoustic
501,0goA2cYxU9k2XfQHzo6WcP,Trevor Hall;Marieme,2 Oceans,2 Oceans,54,213055,False,0.588,0.569,9,-7.721,1,0.0295,0.303,0.0342,0.101,0.209,101.988,4.0,acoustic
2819,7326NRPSE29jliGTzaRku7,Conociendo Rusia,Conociendo Rusia,Cicatriz,45,244012,False,0.555,0.606,0,-7.591,1,0.0293,0.181,3.86e-05,0.112,0.483,151.916,4.0,alt-rock
5215,7Cd17G3oNQ34OWUwS8ZxfR,Kenshi Yonezu,Lemon,Lemon,53,256105,False,0.532,0.661,11,-4.924,1,0.0268,0.366,0.0,0.354,0.446,86.983,4.0,anime
14192,3XMZge3KZFAZmBCfNbUP19,Cri-Cri,"Las 100 Clásicas de Cri Cri, Vol. 2",Orquesta De Animales,42,153440,False,0.607,0.379,2,-10.36,1,0.0553,0.651,0.0,0.0526,0.96,112.163,4.0,children
517,0lczO04vbk2ZiNvAqzUUQ0,Bailey Jehl,21 Guns,21 Guns,47,243979,False,0.44,0.119,10,-12.574,1,0.0318,0.927,1.26e-06,0.137,0.279,145.186,4.0,acoustic
21758,0s3ZpsAaVCbWxDhLq2B2wh,Fireboy DML,"Laughter, Tears & Goosebumps",Scatter,48,164000,False,0.726,0.802,11,-6.528,0,0.197,0.0428,0.0728,0.314,0.593,119.829,4.0,dancehall
9460,2MlMI8EvmLlWYXVcdfSAxs,O Rappa,O Rappa - Acústico Oficina Francisco Brennand (Deluxe) [Ao Vivo],Uma vida só - Ao vivo,45,235864,False,0.46,0.898,5,-4.922,0,0.0412,0.0112,0.00108,0.649,0.746,92.148,4.0,brazil
14061,2zhqBdbprnVQux9m6SKm9C,CoComelon,Nursery Rhymes by CoComelon,"Row, Row, Row Your Boat",48,135234,False,0.523,0.223,11,-11.437,1,0.0393,0.618,1.51e-05,0.069,0.738,150.097,1.0,children
27192,2IrvFNd1zqKQHVmPboVoYI,Chase & Status;Tinie Tempah;Wretch 32,No More Idols (Platinum Edition),Hitz - Wretch 32 Remix,21,210000,True,0.448,0.912,9,-3.72,1,0.304,0.014,0.0,0.243,0.494,125.782,5.0,drum-and-bass
2637,033BH9v7RyCCdHzgxyiU5R,Comisario Pantera;Luis Humberto Navejas,Murasaki,Murasaki,47,213133,False,0.572,0.73,4,-4.381,1,0.0257,0.0286,0.000623,0.198,0.3,136.948,4.0,alt-rock
9101,4ekDggjElGJX9kNSOtnbVf,Dubdogz;Bhaskar,Infinity (Dubdogz & Bhaskar Edit),Infinity - Dubdogz & Bhaskar Edit,69,196000,False,0.723,0.57,9,-8.589,0,0.0429,0.00412,0.00183,0.0862,0.575,123.979,4.0,brazil
14309,4gcF2XfitrqxBAEKI6QYxx,Itsy Bitsy,The Itsy Bitsy Spider,The Itsy Bitsy Spider,48,69183,False,0.888,0.522,8,-8.222,1,0.0394,0.363,0.0,0.114,0.909,98.047,4.0,children
1805,7EUnYSsHzHMgAg6pLmAYfx,Oneness Of Juju,Breezin',Breezin',17,329333,False,0.616,0.476,11,-11.388,1,0.0536,0.687,0.599,0.0991,0.862,80.318,4.0,afrobeat
15917,4sa0z53uQH0pBQPDaAnQcl,Yoste,Chihiro (Remixes),Chihiro,51,212963,False,0.382,0.54,4,-8.768,1,0.0289,0.908,0.651,0.0915,0.0948,139.693,3.0,chill
39735,3G76dHQkmJ8B9nkWPhEvyR,Teuterekordz,Kein Nirvana,Schädel Weh,39,164176,False,0.809,0.572,3,-10.729,1,0.445,0.119,0.00847,0.107,0.331,177.946,4.0,german
11865,2GY8VKvfP3ZtKSk1byDYb1,Nicholas Hooper,Harry Potter And The Order Of The Phoenix (Original Motion Picture Soundtrack),Dumbledore's Army,52,160253,False,0.337,0.119,7,-21.437,1,0.0382,0.793,0.794,0.161,0.209,80.265,4.0,british
18577,0kR7PYS4TWrbDWu7HJtFXU,Stephen Lynch,3 Balloons,You (Prettier Than),22,176080,False,0.535,0.261,9,-10.932,1,0.0305,0.397,0.0,0.124,0.373,130.518,4.0,comedy
26604,095jFPHpHEKyxdARSjev93,The Harp and the Piano,Coco,Oh Miguel!,21,90036,False,0.447,0.0314,2,-25.15,1,0.0424,0.968,0.941,0.106,0.12,132.191,3.0,disney
22173,6QhzpxVOPMeku3Yuz3aeEl,Gideon,Calloused,Calloused,28,220480,False,0.555,0.994,6,-2.139,1,0.0909,0.00122,0.0,0.362,0.318,114.956,4.0,death-metal
5726,3Vkrz7nr2qTnN0aOtz1ZKt,Rustage;Shwabadi;Connor Quest!,Monster Trio,Monster Trio,42,216000,False,0.77,0.849,1,-3.483,1,0.298,0.373,0.0,0.059,0.402,150.143,4.0,anime
28856,2U7k19rKiQDBkB5zy632n4,Culture Code;Dani Poppitt,Crying U Out,Crying U Out,43,195200,False,0.482,0.573,5,-7.224,1,0.0701,0.0223,2.52e-05,0.472,0.122,150.325,4.0,dub
19259,7GFvNSVGH1rwZ022nmehm7,Kacey Musgraves;Lana Del Rey,Alternative Christmas 2022,I'll Be Home For Christmas - From The Kacey Musgraves Christmas Show,0,132108,False,0.469,0.183,5,-15.414,1,0.0407,0.829,0.0,0.71,0.381,139.592,4.0,country
27610,2P6NN55yGEoJdunJ5ZjfCF,Pola & Bryson,This Time Last Year,Raid,17,319075,False,0.511,0.642,7,-6.492,0,0.042,0.00489,0.88,0.361,0.0347,172.998,4.0,drum-and-bass
13547,3tN7z9vqhruqfKDRs2sFlr,"Farley ""Jackmaster"" Funk",Greatest,Funkin' with the Drums Again (Jack the House),8,317460,False,0.754,0.973,1,-4.555,1,0.0506,0.224,0.87,0.261,0.88,119.041,4.0,chicago-house
19217,48cWThoEPUC17cVfrcPnSX,Sam Hunt,Tailgate Country,Body Like A Back Road,0,165386,False,0.732,0.458,5,-7.225,1,0.0311,0.447,0.0,0.136,0.661,98.942,4.0,country
15828,7yg0eWIj0VGxJXEZJryjXP,Nate Traveller,Born Erased,Passive Aggressive,49,108069,True,0.864,0.556,5,-7.323,0,0.0618,0.508,0.0,0.193,0.598,133.096,4.0,chill
33848,6SHxM9QMWJIN3uY3XupE3W,PXNDX,La Revancha Del Principe Charro,Claro Que No,35,179813,False,0.405,0.908,1,-3.629,1,0.0748,0.000293,5.65e-06,0.14,0.336,145.753,4.0,emo
3032,5HNau9WX6OmX2PcBn3n24r,Red Hot Chili Peppers,20's Rock,Black Summer,0,232412,False,0.417,0.682,1,-5.071,1,0.0295,0.0267,0.000669,0.109,0.351,105.542,4.0,alternative
7036,1PsqGUXy4eFdOKOmafn2ea,The Avett Brothers,Chill Christmas Dinner,Winter In My Heart,0,294960,False,0.409,0.198,9,-10.832,1,0.0293,0.751,0.000712,0.082,0.14,132.782,4.0,bluegrass
25628,4Vj87djVCOMooRJbVhzJwG,Dr. SWAG,Polej mi vodki,Polej mi vodki,32,191596,False,0.795,0.461,0,-10.624,1,0.0406,0.0806,0.37,0.0989,0.563,118.972,4.0,disco
1182,6CdWVVb0fEm68YrJFHSOI2,Los Amigos Invisibles,El Paradise (Extended),Espérame (Extended Mix),31,337882,False,0.75,0.775,9,-7.086,1,0.0382,0.00914,0.0061,0.075,0.962,119.982,4.0,afrobeat
35829,0qbw7v0hqrLTC7pK1A2V2S,Unha Pintada,Collection,Chifre Mole e Água Dura,38,145310,False,0.815,0.773,3,-3.157,1,0.0824,0.685,0.0,0.0828,0.758,134.947,4.0,forro
34523,4AZ0sJsofN1fu52BaYDfQX,Seafret,Anywhere from Here,Everlasting,54,222442,False,0.5,0.596,6,-5.134,1,0.0366,0.692,0.0,0.369,0.381,169.929,4.0,folk
11822,0sKfhhj6hYyJIXnTiZV9vf,Sade,Promise,The Sweetest Taboo,64,277373,False,0.752,0.823,10,-9.455,0,0.0447,0.128,0.0098,0.303,0.962,91.563,4.0,british
30827,6nQZG4G0vIrQWaCGbqHCQn,Arc North;Badjack;Cour,Down,Down,55,143500,False,0.74,0.692,11,-6.488,0,0.0324,0.108,0.000342,0.171,0.666,126.021,4.0,edm
25520,2W2ieVidLIx9TDvxu0ZT6F,Tina Turner,Simply the Best,The Best - Edit,65,253592,False,0.68,0.701,0,-10.46,1,0.0275,0.0341,0.00479,0.114,0.824,103.789,4.0,disco
7436,0eSnv6EDeSDNWeJsKSnCHT,The Infamous Stringdusters,Rise Sun,Another Night,23,233439,False,0.481,0.83,6,-6.302,0,0.0339,0.115,0.000159,0.706,0.529,118.228,4.0,bluegrass
25868,6no6tdKoSex1iY2zlM9frM,The Bar-Kays,The Best Of The Bar-Kays (Vol. 2),Freaky Behavior,29,311933,False,0.901,0.655,2,-8.905,0,0.0361,0.237,0.00369,0.048,0.975,128.649,4.0,disco
7988,3TJAYJ7q71LBcSJ9ZELlkX,The Osborne Brothers,100 Greatest Bluegrass Hits,I'll Fly Away,20,144066,False,0.452,0.55,7,-11.174,1,0.0353,0.544,0.796,0.147,0.942,112.787,4.0,bluegrass
27636,4S2l4FIQ2A2CRg3QvJaQtx,UN-CUT,Soul and Horns,MIDNIGHT,16,255266,False,0.435,0.764,0,-5.899,0,0.0627,0.0348,2.36e-05,0.2,0.762,174.97,4.0,drum-and-bass
8695,0JrHljeGFkKHRtFLfptmjq,Sir Charles Jones,Love Machine,Just Can't Let Go,35,280160,False,0.804,0.394,5,-7.597,1,0.0422,0.722,0.0,0.0599,0.599,82.529,3.0,blues
37419,6Ue3Pam5yCOWSjvzuZNOQP,MC Joãozinho VT;DJ BOY,Meu Momento,Liga e Me Chama,48,260000,False,0.804,0.396,11,-9.372,0,0.459,0.535,0.0,0.109,0.496,119.885,4.0,funk
3087,4fvKqLGqlsj7giLICaxTXl,Julieta Venegas,Éxitos del Pop en Español de los Años 2000,Limón y Sal,0,205213,False,0.625,0.653,11,-5.967,1,0.0257,0.124,0.0,0.346,0.605,110.972,4.0,alternative
3729,4I2m1bwLI7Mk8ibRA9Z87f,Lil' Kim,Mellow Bars R'n'B,This Is a Warning,0,222400,True,0.564,0.384,6,-11.003,1,0.121,0.259,4.55e-06,0.0873,0.198,68.342,4.0,alternative
23073,4nBG4RjDuiAa6Q7akigZI9,Lucas Estrada,Drowning In You,Drowning In You,67,141875,False,0.782,0.651,5,-6.005,0,0.0601,0.0121,0.324,0.461,0.767,126.052,4.0,deep-house
31738,1thR2sfJj6FasYaXHQ98e4,Juan Magán;Mala Rodríguez,Perreo Tenebroso Vol. 3,Usted,0,233746,False,0.666,0.826,0,-4.093,1,0.0625,0.017,0.0,0.285,0.343,104.701,4.0,electro
